Aalbes,5
Aangebrande orchis,5
Aapjesorchis,5
Aardaker,4
Aardappel,6
Aardbei,3
Aardbeiganzerik,3
Aardbeiklaver,4
Aarddistel,4
Aardkastanje,5
Aardpeer,3
Aarereprijs,5
Aarmunt,4
Aarvederkruid,4
Absintalsem,5
Addertong,4
Adderwortel,5
Adelaarsvaren,3
Afghaanse duizendknoop,3
Afrikaanse amarant,3
Afrikaanse bolletjeskool,2
Aglaothamnion,1
Agrostis,1
Akeleiruit,3
Akkerandoorn,3
Akkerbedstro,4
Akkerboterbloem,4
Akkerdistel,4
Akkerdoornzaad,5
Akkerdravik,4
Akkerereprijs,3
Akkergeelster,4
Akkergoudsbloem,3
Akkerhoornbloem,5
Akkerkers,4
Akkerklokje,3
Akkerkool,3
Akkerleeuwenbek,3
Akkermelkdistel,4
Akkermunt,4
Akkerogentroost,2
Akkervergeet-mij-nietje,3
Akkerviltkruid,3
Akkerviooltje,3
Akkerwalstro,1
Akkerwinde,4
Akkerzenegroen,4
Alexandrijnse klaver,2
Alpenandoorn,2
Alpenbes,4
Alpenheksenkruid,3
Alsemambrosia,5
Amandelwilg,6
Amandelwolfsmelk,4
Amaranthus,4
Amerikaans krentenboompje,4
Amerikaans perzikkruid,2
Amerikaanse eik,3
Amerikaanse kruidkers,4
Amerikaanse vlier,1
Amerikaanse vogelkers,3
Anagallis,3
Andijvie,2
Anijs,2
Anna Paulownaboom,4
Anthoxanthum,4
Appel,4
Arabis,3
Argentijnse amarant,2
Armbloemig look,4
Armbloemige waterbies,4
Artemisia,2
Asparagus,2
Aubrietia,3
Avondkoekoeksbloem,3
Azijnboom,3
Azorenaddertong,3
Baardgras,5
Baldellia,3
Bangia,1
Basilicum,4
Bastaardpaardenstaart,4
Basterdamarant,1
Basterdklaver,4
Beekpunge,4
Beemdhaver,7
Beemdkroon,3
Beemdlangbloem,6
Beemdooievaarsbek,5
Beenbreek,5
Behaard breukkruid,3
Behaarde boterbloem,3
Beklierde basterdwederik,2
Beklierde duizendknoop,7
Beklierde kogeldistel,4
Beklierde nachtschade,2
Beklierde ogentroost,3
Berendruif,2
Bergandoorn,3
Bergbasterdwederik,3
Bergbeemdgras,4
Bergcentaurie,3
Bergden,3
Bergdravik,4
Berggamander,4
Berghertshooi,3
Berglook,4
Bergnachtorchis,5
Bergroos,4
Bergseselie,2
Bergsteentijm,2
Bergvrouwenmantel,2
Berijpte wilg,3
Bermooievaarsbek,3
Bermzuring,5
Bernagie,6
Besanjelier,4
Beta,3
Betonie,3
Beuk,6
Beursjesganzenvoet,4
Beverneltorkruid,3
Bevertjes,4
Bezemdophei,2
Bezemkruiskruid,5
Bieslook,5
Biestarwegras,5
Biet,4
Biezenknoppen,3
Bijenorchis,5
Bijvoet,5
Bilzekruid,5
Bitter barbarakruid,4
Bittere veldkers,3
Bittere wilg,5
Bitterkruidbremraap,5
Bitterzoet,4
Blaartrekkende boterbloem,4
Blaaslobelia,1
Blaassilene,3
Blaasvaren,5
Blaaswier,3
Blaaszegge,3
Blackstonia,2
Blauw glidkruid,3
Blauw guichelheil,4
Blauw kattenkruid,1
Blauw kweldergras,2
Blauw walstro,4
Blauwe anemoon,2
Blauwe bosbes,5
Blauwe bremraap,6
Blauwe druifjes,4
Blauwe knoop,3
Blauwe leeuwenbek,2
Blauwe lupine,4
Blauwe spar,2
Blauwe waterereprijs,4
Blauwe zeedistel,6
Blauwe zegge,4
Blauwgras,5
Blazentruik,2
Bleek bosvogeltje,4
Bleek cypergras,3
Bleek kweldergras,3
Bleek schildzaad,4
Bleekgeel blaasjeskruid,2
Bleekgele droogbloem,4
Bleeksporig bosviooltje,3
Bleke basterdwederik,3
Bleke hoornbloem,1
